DATE,TRADINGCODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME,Change
2016-12-15,SALVOCHEM,16.3,17.3,16.3,17,16.4,16.8,839,39.004,2347083,-2.38%
2016-12-15,SAMATALETH,0,0,0,0,26.5,26.5,0,0,0,0.00%
2016-12-15,SAMORITA,67.6,68.9,67.1,68.5,67.3,67.3,138,4.099,60561,0.00%
2016-12-15,SANDHANINS,32.6,32.8,32.4,32.5,32.6,32.6,71,1.498,45993,0.00%
2016-12-15,SAPORTL,47.9,48.7,47.2,48,47.9,48.4,1915,121.017,2528556,-1.03%
2016-12-15,SAVAREFR,50,50,50,50,50,49.5,1,0.005,100,1.01%
2016-12-15,SEBL1STMF,11.9,12,11.9,12,12,12,12,1.265,105400,0.00%
2016-12-15,SEMLLECMF,0,0,0,0,9.8,9.8,0,0,0,0.00%
2016-12-15,SHAHJABANK,14.3,14.4,14.1,14.1,14.4,14.2,163,6.477,451773,1.41%
2016-12-15,SHASHADNIM,71.3,74,71.1,73.8,71.6,73.6,1737,132.695,1837360,-2.72%
2016-12-15,SHURWID,10.5,10.9,10.5,10.7,10.5,10.8,147,1.699,159663,-2.78%
2016-12-15,SHYAMPSUG,17.8,17.8,16.3,16.3,17.8,16.2,56,0.442,25385,9.88%
2016-12-15,SIBL,16.8,16.8,16.5,16.6,16.8,16.7,136,3.275,196325,0.60%
2016-12-15,SIMTEX,21.6,21.7,21.2,21.7,21.3,21.5,509,5.242,244108,-0.93%
2016-12-15,SINGERBD,186,187,184.2,184.2,184.8,184.2,298,14.937,80734,0.33%
2016-12-15,SINOBANGLA,29.1,30.4,28.3,30.1,29.4,30.8,153,4.323,144238,-4.55%
2016-12-15,SONALIANSH,187,191.8,184.1,191.8,186.1,187.5,234,5.495,29525,-0.75%
2016-12-15,SONARBAINS,16.5,16.5,15.8,16.1,16,15.9,35,0.371,23127,0.63%
2016-12-15,SONARGAON,9.8,10.1,9.8,10,9.8,9.8,61,0.634,63942,0.00%
2016-12-15,SOUTHEASTB,17.4,17.6,17.3,17.5,17.4,17.4,220,17.247,988708,0.00%
2016-12-15,SPCERAMICS,9.5,9.5,9.3,9.5,9.4,9.6,58,0.564,60120,-2.08%
2016-12-15,SPCL,135,138.3,134,137.9,135.2,138,1013,45.192,331203,-2.03%
2016-12-15,SPPCL,0,0,0,0,0,39.7,0,0,0,-100.00%
2016-12-15,SQUARETEXT,69.4,70.5,69.2,70.1,69.4,70.3,154,13.219,189095,-1.28%
2016-12-15,SQURPHARMA,245.2,247.7,245.2,247.7,245.5,247,1297,119.961,487651,-0.61%
2016-12-15,STANCERAM,53.6,55.2,53.1,55.2,53.6,55.2,200,2.75,51059,-2.90%
2016-12-15,STANDARINS,18.1,19,18,18.7,18.2,18.4,16,0.081,4466,-1.09%
2016-12-15,STANDBANKL,11,11.2,10.8,10.9,11.1,10.9,180,7.5,678945,1.83%
2016-12-15,STYLECRAFT,1434.1,1494,1415,1480,1440.3,1494.2,69,0.533,369,-3.61%
2016-12-15,SUMITPOWER,37.2,38.3,36.9,37.9,37.2,37.6,677,55.489,1476054,-1.06%
2016-12-15,SUNLIFEINS,20.3,20.5,19.6,20.5,20.1,20.1,15,0.28,13900,0.00%
2016-12-15,TAKAFULINS,17.5,17.7,17.4,17.4,17.6,17.5,18,0.195,11132,0.57%
2016-12-15,TALLUSPIN,9.3,9.4,9.2,9.4,9.3,9.3,149,1.963,211355,0.00%
2016-12-15,TITASGAS,46.8,47.2,46.7,46.8,46.8,46.9,524,31.32,667996,-0.21%
2016-12-15,TOSRIFA,19.4,20.2,19,20.1,19.3,19.6,273,9.721,501319,-1.53%
2016-12-15,TRUSTB1MF,5.3,5.3,5.1,5.2,5.2,5.2,125,6.76,1301022,0.00%
2016-12-15,TRUSTBANK,23.5,23.7,23.2,23.4,23.5,23.3,342,29.432,1252625,0.86%
2016-12-15,TUNGHAI,11,11.4,10.9,11.2,11,11.2,389,16.912,1522880,-1.79%
2016-12-15,UCB,20.4,20.4,19.9,19.9,20.3,19.9,751,53.557,2655349,2.01%
2016-12-15,UNIONCAP,16.3,16.4,15.4,15.8,16.2,15.7,1120,60.724,3765651,3.18%
2016-12-15,UNIQUEHRL,46.5,48.2,45.4,45.9,47,45.6,2072,113.049,2418244,3.07%
2016-12-15,UNITEDAIR,5,5.1,4.9,5.1,5,5,478,10.125,2014258,0.00%
2016-12-15,UNITEDFIN,22.9,22.9,22.1,22.1,22.7,22.2,374,19.798,875554,2.25%
2016-12-15,UNITEDINS,25.5,25.7,25.5,25.7,25.5,25.5,2,0.077,3000,0.00%
2016-12-15,UPGDCL,140.2,142,139.3,141.3,140.4,141.1,972,73.488,521386,-0.50%
2016-12-15,USMANIAGL,88.2,89,87,89,87.3,88.2,281,3.847,43927,-1.02%
2016-12-15,UTTARABANK,24.1,24.5,24,24.5,24.4,24.2,288,21.3,874036,0.83%
2016-12-15,UTTARAFIN,60.6,61.3,58.5,58.5,60.7,58.5,508,21.712,358908,3.76%
2016-12-15,VAMLBDMF1,10.1,10.1,9.9,10,10,10,32,2.791,278850,0.00%
2016-12-15,VAMLRBBF,8.6,8.8,8.6,8.6,8.6,8.7,79,0.378,43760,-1.15%
2016-12-15,WATACHEM,165,169.7,164,165,166.1,163.9,503,13.14,79058,1.34%
2016-12-15,WMSHIPYARD,31.2,33,30,33,31.3,32.9,712,21.898,699720,-4.86%
2016-12-15,YPL,30.3,31.5,30.2,31.5,30.3,31.2,1174,32.526,1059087,-2.88%
2016-12-15,ZAHEENSPIN,17,17.6,16.9,17.6,17,17.6,642,25.074,1451807,-3.41%
2016-12-15,ZAHINTEX,18,18,17.2,17.6,17.5,17.7,234,7.659,438855,-1.13%
2016-12-15,ZEALBANGLA,29.8,29.8,29.2,29.5,29.8,27.1,56,0.627,21091,9.96%
